0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:30 +0700] "POST /BTL/admin/chi-tiet-tai-khoan/27/chinh-sua/luu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:30 +0700] "GET /BTL/admin/chi-tiet-tai-khoan/27 HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:32 +0700] "GET /BTL/admin/danh-sach-tai-khoan HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:20:34 +0700] "GET /BTL/admin/danh-sach-slide HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:22:19 +0700] "GET /BTL/ThemSanPham/2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:22:20 +0700] "GET /BTL/trang-chu HTTP/1.1" 200 17534
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:22:22 +0700] "GET /BTL/chi-tiet-san-pham/2 HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:22:51 +0700] "GET /BTL/tat-ca-san-pham HTTP/1.1" 200 8288
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:02 +0700] "GET /BTL/admin/home HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:06 +0700] "POST /BTL/admin/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:06 +0700] "GET /BTL/admin/danh-sach-hoa-don HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:08 +0700] "GET /BTL/admin/danh-sach-slide HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:16 +0700] "GET /BTL/trang-chu HTTP/1.1" 200 17534
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:32 +0700] "GET /BTL/admin/chi-tiet-slide/1 HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:34 +0700] "GET /BTL/admin/chi-tiet-slide/1/chinh-sua HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:37 +0700] "POST /BTL/admin/chi-tiet-slide/1/chinh-sua/luu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:38 +0700] "GET /BTL/admin/chi-tiet-slide/1 HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:41 +0700] "GET /BTL/admin/danh-sach-slide HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:46 +0700] "GET /BTL/trang-chu HTTP/1.1" 200 17262
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:51 +0700] "GET /BTL/admin/chi-tiet-slide/1 HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:52 +0700] "GET /BTL/admin/chi-tiet-slide/1/chinh-sua HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:56 +0700] "POST /BTL/admin/chi-tiet-slide/1/chinh-sua/luu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:25:56 +0700] "GET /BTL/admin/chi-tiet-slide/1 HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:26:00 +0700] "GET /BTL/admin/chi-tiet-slide/1/chinh-sua HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:26:04 +0700] "POST /BTL/admin/chi-tiet-slide/1/chinh-sua/luu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:26:04 +0700] "GET /BTL/admin/chi-tiet-slide/1 HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:26:07 +0700] "GET /BTL/admin/danh-sach-slide HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [08/Dec/2021:08:26:09 +0700] "GET /BTL/trang-chu HTTP/1.1" 200 17534
